1. ANESTHESIQUES,
1.1 Anesthésiques généraux et oxygène,
1.1.1 Médicaments inhalables,halothane
1.1.1 Médicaments inhalables,isoflurane
1.1.1 Médicaments inhalables,oxygène
1.1.1 Médicaments inhalables,protoxyde dʹazote
1.1.2 Médicaments injectables,kétamine
1.1.2 Médicaments injectables,propofol
1.2 Anesthésiques locaux,bupivacaïne
1.2 Anesthésiques locaux,lidocaïne
1.2 Anesthésiques locaux,lidocaïne + épinéphrine (adrénaline)
1.2 Anesthésiques locaux,Liste complémentaire
1.2 Anesthésiques locaux,éphédrine
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,atropine
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,midazolam
1.3 Prémédication anesthésique et sédation pour interventions de courte durée,morphine
"2. ANALGESIQUES, ANTIPYRETIQUES, ANTI-INFLAMMATOIRES
NON STEROIDIENS (AINS), ANTIGOUTTEUX ET MEDICAMENTS UTILISES POUR LE
TRAITEMENT DE FOND DES AFFECTIONS RHUMATISMALES",
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,acide acétylsalicylique
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,ibuprofène
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,paracétamol
2.1 Analgésiques non opioïdes et anti-inflammatoires non stéroïdiens,acide acétylsalicylique
2.2 Analgésiques opioïdes,codéine*
2.2 Analgésiques opioïdes,morphine
2.3 Antigoutteux,allopurinol
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,chloroquine*
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,azathioprine
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,hydroxychloroquine [c]
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,méthotrexate
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,pénicillamine
2.4 Médicaments utilisés pour le traitement de fond des affections rhumatismales,sulfasalazine
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,chlorphénamine
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,dexaméthasone
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,épinéphrine (adrénaline)
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,hydrocortisone
3. ANTIALLERGIQUES ET ANTIANAPHYLACTIQUES,prednisolone
4. ANTIDOTES ET AUTRES SUBSTANCES UTILISEES POUR LE TRAITEMENT DES INTOXICATIONS,
4.1 Non-spécifiques,charbon activé
4.2 Spécifiques,acétylcystéine
4.2 Spécifiques,atropine
4.2 Spécifiques,chlorure de méthylthioninium (bleu de méthylène)
4.2 Spécifiques,hexacyanoferrate (II) de potassium et de fer (bleu de Prusse)
4.2 Spécifiques,naloxone
4.2 Spécifiques,nitrite de sodium
4.2 Spécifiques,pénicillamine*
4.2 Spécifiques,thiosulfate de sodium
4.2 Spécifiques,calcium édétate de sodium
4.2 Spécifiques,déféroxamine
4.2 Spécifiques,dimercaprol
4.2 Spécifiques,succimer
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,acide valproïque (valproate de sodium)
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,carbamazépine
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,diazépam
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,lorazépam
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,phénobarbital
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,phénytoïne
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,sulfate de magnésium*
5. ANTICONVULSANTS/ANTIEPILEPTIQUES,éthosuximide
6. ANTI-INFECTIEUX,
6.1 Anthelminthiques,
6.1.1 Médicaments contre les helminthes intestinaux,albendazole
6.1.1 Médicaments contre les helminthes intestinaux,lévamisole*
6.1.1 Médicaments contre les helminthes intestinaux,mébendazole
6.1.1 Médicaments contre les helminthes intestinaux,niclosamide*
6.1.1 Médicaments contre les helminthes intestinaux,praziquantel
6.1.1 Médicaments contre les helminthes intestinaux,pyrantel
6.1.2 Antifilariens,albendazole
6.1.2 Antifilariens,diéthylcarbamazine
6.1.2 Antifilariens,ivermectine
6.1.3 Schistosomicides (antibilharziens) et antitrématodes,praziquantel
6.1.3 Schistosomicides (antibilharziens) et antitrématodes,triclabendazole
6.1.3 Schistosomicides (antibilharziens) et antitrématodes,oxamniquine*
6.2 Antibactériens,
6.2.1 Bêta-lactamines,amoxicilline
6.2.1 Bêta-lactamines,amoxicilline + acide clavulanique
6.2.1 Bêta-lactamines,ampicilline
6.2.1 Bêta-lactamines,benzathine benzylpénicilline
6.2.1 Bêta-lactamines,benzylpénicilline
6.2.1 Bêta-lactamines,céfalexine [c]
6.2.1 Bêta-lactamines,céfazoline* a
6.2.1 Bêta-lactamines,céfixime
6.2.1 Bêta-lactamines,ceftriaxone* a
6.2.1 Bêta-lactamines,cloxacilline
6.2.1 Bêta-lactamines,phénoxyméthylpénicilline
6.2.1 Bêta-lactamines,procaïne benzylpénicilline*
6.2.1 Bêta-lactamines,céfotaxime* [c]
6.2.1 Bêta-lactamines,ceftazidime
6.2.1 Bêta-lactamines,imipénem* + cilastatine*
6.2.2 Autres antibactériens,azithromycine
6.2.2 Autres antibactériens,chloramphénicol
6.2.2 Autres antibactériens,ciprofloxacine*
6.2.2 Autres antibactériens,clarithromycine*
6.2.2 Autres antibactériens,doxycycline a
6.2.2 Autres antibactériens,érythromycine
6.2.2 Autres antibactériens,gentamicine
6.2.2 Autres antibactériens,métronidazole
6.2.2 Autres antibactériens,nitrofurantoïne
6.2.2 Autres antibactériens,spectinomycine
6.2.2 Autres antibactériens,sulfaméthoxazole + triméthoprime
6.2.2 Autres antibactériens,triméthoprime
6.2.2 Autres antibactériens,clindamycine
6.2.2 Autres antibactériens,vancomycine
6.2.3 Antilépreux,clofazimine
6.2.3 Antilépreux,dapsone
6.2.3 Antilépreux,rifampicine
6.2.4 Antituberculeux,éthambutol
6.2.4 Antituberculeux,éthambutol + isoniazide
6.2.4 Antituberculeux,éthambutol + isoniazide + pyrazinamide + rifampicine
6.2.4 Antituberculeux,éthambutol + isoniazide + rifampicine
6.2.4 Antituberculeux,isoniazide
6.2.4 Antituberculeux,isoniazide + pyrazinamide + rifampicine
6.2.4 Antituberculeux,isoniazide + rifampicine
6.2.4 Antituberculeux,pyrazinamide
6.2.4 Antituberculeux,rifabutine
6.2.4 Antituberculeux,rifampicine
6.2.4 Antituberculeux,streptomycine
6.2.4 Antituberculeux,acide p‐aminosalicylique
6.2.4 Antituberculeux,amikacine
6.2.4 Antituberculeux,capréomycine
6.2.4 Antituberculeux,cyclosérine
6.2.4 Antituberculeux,éthionamide
6.2.4 Antituberculeux,kanamycine
6.2.4 Antituberculeux,ofloxacine*
6.3 Antifongiques,clotrimazole
6.3 Antifongiques,fluconazole
6.3 Antifongiques,griséofulvine
6.3 Antifongiques,nystatine
6.3 Antifongiques,amphotéricine B
6.3 Antifongiques,flucytosine
6.3 Antifongiques,iodure de potassium
6.4 Antiviraux,
6.4.1 Antiherpétiques,aciclovir
6.4.2 Antirétroviraux,
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,abacavir (ABC)
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,didanosine (ddI)
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,emtricitabine (FTC)* a
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,lamivudine (3TC)
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,stavudine (d4T)
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,ténofovir disoproxil fumarate (TDF)
6.4.2.1 Inhibiteurs nucléosidiques/nucléotidiques de la transcriptase inverse,zidovudine (ZDV ou AZT)
6.4.2.2 Inhibiteurs non nucléosidiques de la transcriptase inverse,éfavirenz (EFV ou EFZ) a
6.4.2.2 Inhibiteurs non nucléosidiques de la transcriptase inverse,névirapine (NVP)
6.4.2.3 Inhibiteurs de protéase,atazanavir a
6.4.2.3 Inhibiteurs de protéase,indinavir (IDV)
6.4.2.3 Inhibiteurs de protéase,lopinavir + ritonavir (LPV/r)
6.4.2.3 Inhibiteurs de protéase,ritonavir
6.4.2.3 Inhibiteurs de protéase,saquinavir (SQV) a
6.4.3 Autres antiviraux,oseltamivir*
6.4.3 Autres antiviraux,ribavirine*
6.5 Antiprotozoaires,
6.5.1 Antiamibiens et antigiardiens,diloxanide a
6.5.1 Antiamibiens et antigiardiens,métronidazole
6.5.2 Antileishmaniens,amphotéricine B
6.5.2 Antileishmaniens,miltéfosine
6.5.2 Antileishmaniens,paromomycine
6.5.2 Antileishmaniens,"stibogluconate de sodium ou
antimoniate de méglumine"
6.5.3 Antipaludiques,
6.5.3.1 Traitement curatif,amodiaquine*
6.5.3.1 Traitement curatif,artéméther*
6.5.3.1 Traitement curatif,artéméther + luméfantrine*
6.5.3.1 Traitement curatif,artésunate*
6.5.3.1 Traitement curatif,artésunate + amodiaquine*
6.5.3.1 Traitement curatif,chloroquine*
6.5.3.1 Traitement curatif,doxycycline*
6.5.3.1 Traitement curatif,méfloquine *
6.5.3.1 Traitement curatif,primaquine
6.5.3.1 Traitement curatif,quinine*
6.5.3.1 Traitement curatif,sulfadoxine + pyriméthamine*
6.5.3.2 Prophylaxie,chloroquine*
6.5.3.2 Prophylaxie,doxycycline a
6.5.3.2 Prophylaxie,méfloquine a
6.5.3.2 Prophylaxie,proguanile*
6.5.4 Médicaments contre la pneumocystose et la toxoplasmose,pyriméthamine
6.5.4 Médicaments contre la pneumocystose et la toxoplasmose,sulfadiazine
6.5.4 Médicaments contre la pneumocystose et la toxoplasmose,sulfaméthoxazole + triméthoprime
6.5.4 Médicaments contre la pneumocystose et la toxoplasmose,pentamidine
6.5.5 Trypanocides,
6.5.5.1 Trypanosomiase africaine,pentamidine*
6.5.5.1 Trypanosomiase africaine,suramine sodique*
6.5.5.1 Trypanosomiase africaine,éflornithine*
6.5.5.1 Trypanosomiase africaine,mélarsoprol
6.5.5.1 Trypanosomiase africaine,nifurtimox*
6.5.5.1 Trypanosomiase africaine,mélarsoprol
6.5.5.2 Trypanosomiase américaine,benznidazole
6.5.5.2 Trypanosomiase américaine,nifurtimox
7. ANTIMIGRAINEUX,
7.1 Traitement de la crise,acide acétylsalicylique
7.1 Traitement de la crise,ibuprofène [c]
7.1 Traitement de la crise,paracétamol
7.2 Prophylaxie,propranolol
"8. ANTINEOPLASIQUES, IMMUNOSUPPRESSEURS ET MEDICAMENTS DES SOINS
PALLIATIFS",
8.1 Immunodépresseurs,azathioprine
8.1 Immunodépresseurs,ciclosporine
8.2 Cytotoxiques et médicaments adjuvants,allopurinol [c]
8.2 Cytotoxiques et médicaments adjuvants,asparaginase
8.2 Cytotoxiques et médicaments adjuvants,bléomycine
8.2 Cytotoxiques et médicaments adjuvants,carboplatine
8.2 Cytotoxiques et médicaments adjuvants,chlorambucil
8.2 Cytotoxiques et médicaments adjuvants,cyclophosphamide
8.2 Cytotoxiques et médicaments adjuvants,cytarabine
8.2 Cytotoxiques et médicaments adjuvants,dacarbazine
8.2 Cytotoxiques et médicaments adjuvants,dactinomycine
8.2 Cytotoxiques et médicaments adjuvants,daunorubicine
8.2 Cytotoxiques et médicaments adjuvants,docétaxel
8.2 Cytotoxiques et médicaments adjuvants,doxorubicine
8.2 Cytotoxiques et médicaments adjuvants,étoposide
8.2 Cytotoxiques et médicaments adjuvants,fluorouracil
8.2 Cytotoxiques et médicaments adjuvants,folinate de calcium
8.2 Cytotoxiques et médicaments adjuvants,hydroxycarbamide
8.2 Cytotoxiques et médicaments adjuvants,ifosfamide
8.2 Cytotoxiques et médicaments adjuvants,mercaptopurine
8.2 Cytotoxiques et médicaments adjuvants,mesna
8.2 Cytotoxiques et médicaments adjuvants,méthotrexate
8.2 Cytotoxiques et médicaments adjuvants,paclitaxel
8.2 Cytotoxiques et médicaments adjuvants,procarbazine
8.2 Cytotoxiques et médicaments adjuvants,thioguanine [c]
8.2 Cytotoxiques et médicaments adjuvants,vinblastine
8.2 Cytotoxiques et médicaments adjuvants,vincristine
8.3 Hormones et antihormones,dexaméthasone
8.3 Hormones et antihormones,hydrocortisone
8.3 Hormones et antihormones,méthylprednisolone [c]
8.3 Hormones et antihormones,prednisolone
8.3 Hormones et antihormones,tamoxifène
8.4 Médicaments des soins palliatifs,amitriptyline [c]
8.4 Médicaments des soins palliatifs,bromhydrate d’hyoscine [c]
8.4 Médicaments des soins palliatifs,cyclizine
8.4 Médicaments des soins palliatifs,dexaméthasone [c]
8.4 Médicaments des soins palliatifs,diazépam [c]
8.4 Médicaments des soins palliatifs,docusate sodique [c]
8.4 Médicaments des soins palliatifs,fluoxétine a [c]
8.4 Médicaments des soins palliatifs,ibuprofène a [c]
8.4 Médicaments des soins palliatifs,lactulose [c]
8.4 Médicaments des soins palliatifs,midazolam [c]
8.4 Médicaments des soins palliatifs,morphine [c]
8.4 Médicaments des soins palliatifs,ondansétron[c]
8.4 Médicaments des soins palliatifs,senna [c]
9. ANTIPARKINSONIENS,bipéridène
9. ANTIPARKINSONIENS,lévodopa +carbidopa
10. MEDICAMENTS UTILISES EN HEMATOLOGIE,
10.1 Antianémiques,acide folique
10.1 Antianémiques,hydroxocobalamine
10.1 Antianémiques,sels ferreux
10.1 Antianémiques,sels ferreux + acide folique
10.2 Médicaments de l’hémostase,acide tranexamique
10.2 Médicaments de l’hémostase,héparine sodique
10.2 Médicaments de l’hémostase,phytoménadione
10.2 Médicaments de l’hémostase,sulfate de protamine
10.2 Médicaments de l’hémostase,warfarine
10.3 Autres médicaments pour le traitement des hémoglobinopathies,déféroxamine*
10.3 Autres médicaments pour le traitement des hémoglobinopathies,hydroxycarbamide
11. PRODUITS SANGUINS ET SUBSTITUTS DU PLASMA,
11.1 Substituts du plasma,dextran 70*
11.2 Fractions plasmatiques pour indications particulières,concentré de facteur VIII
11.2 Fractions plasmatiques pour indications particulières,"concentré de complexe de facteur
IX (facteurs de coagulation, II, VII,
IX, X)"
11.2 Fractions plasmatiques pour indications particulières,"immunoglobulines humaines
normales"
12. MEDICAMENTS UTILISES EN CARDIO-ANGEIOLOGIE,
12.1 Antiangoreux,bisoprolol*
12.1 Antiangoreux,dinitrate dʹisosorbide
12.1 Antiangoreux,trinitrate de glycéryle
12.1 Antiangoreux,vérapamil
12.2 Antiarythmiques,bisoprolol*
12.2 Antiarythmiques,digoxine
12.2 Antiarythmiques,épinéphrine (adrénaline)
12.2 Antiarythmiques,lidocaïne
12.2 Antiarythmiques,vérapamil
12.2 Antiarythmiques,amiodarone
12.3 Antihypertenseurs,amlodipine
12.3 Antihypertenseurs,bisoprolol*
12.3 Antihypertenseurs,énalapril
12.3 Antihypertenseurs,hydralazine*
12.3 Antihypertenseurs,hydrochlorothiazide
12.3 Antihypertenseurs,méthyldopa*
12.3 Antihypertenseurs,nitroprussiate de sodium
12.4 Médicaments de l'insuffisance cardiaque,bisoprolol*
12.4 Médicaments de l'insuffisance cardiaque,digoxine
12.4 Médicaments de l'insuffisance cardiaque,énalapril
12.4 Médicaments de l'insuffisance cardiaque,furosémide
12.4 Médicaments de l'insuffisance cardiaque,hydrochlorothiazide
12.4 Médicaments de l'insuffisance cardiaque,dopamine
12.5 Antithrombotiques,acide acétylsalicylique
12.5 Antithrombotiques,streptokinase
12.6 Hypolipémiants,simvastatine*
13. MEDICAMENTS UTILISES EN DERMATOLOGIE (topiques),
13.1 Antifongiques,miconazole
13.1 Antifongiques,sulfure de sélénium
13.1 Antifongiques,terbinafine
13.1 Antifongiques,thiosulfate de sodium
13.2 Anti-infectieux,mupirocine
13.2 Anti-infectieux,permanganate de potassium
13.2 Anti-infectieux,sulfadiazine argentique a
13.3 Anti-inflammatoires et antiprurigineux,bétaméthasone a
13.3 Anti-inflammatoires et antiprurigineux,calamine
13.3 Anti-inflammatoires et antiprurigineux,hydrocortisone
13.4 Médicaments de la différenciation et de la prolifération cutanées,acide salicylique
13.4 Médicaments de la différenciation et de la prolifération cutanées,dithranol*
13.4 Médicaments de la différenciation et de la prolifération cutanées,fluorouracil
13.4 Médicaments de la différenciation et de la prolifération cutanées,goudron de houille
13.4 Médicaments de la différenciation et de la prolifération cutanées,peroxyde de benzoyle
13.4 Médicaments de la différenciation et de la prolifération cutanées,résine de podophylle
13.4 Médicaments de la différenciation et de la prolifération cutanées,urée
13.5 Scabicides et pédiculicides,benzoate de benzyle a
13.5 Scabicides et pédiculicides,perméthrine
14. PRODUITS DE DIAGNOSTIC,
14.1 En ophtalmologie,fluorescéine
14.1 En ophtalmologie,tropicamide
14.2 Produits de contraste,amidotrizoate
14.2 Produits de contraste,iohexol
14.2 Produits de contraste,sulfate de baryum
14.2 Produits de contraste,iotroxate de méglumine
15. DESINFECTANTS ET ANTISEPTIQUES,
15.1 Antiseptiques,chlorhexidine
15.1 Antiseptiques,éthanol
15.1 Antiseptiques,polyvidone iodée
15.2 Désinfectants,composé chloré
15.2 Désinfectants,chloroxylénol
15.2 Désinfectants,glutaral
16. DIURETIQUES,amiloride
16. DIURETIQUES,furosémide
16. DIURETIQUES,hydrochlorothiazide
16. DIURETIQUES,mannitol
16. DIURETIQUES,spironolactone
17. MEDICAMENTS INDIQUES EN GASTROENTEROLOGIE,enzymes pancréatiques
17.1 Antiulcéreux,oméprazole
17.1 Antiulcéreux,ranitidine*
17.2 Antiémétiques,dexaméthasone
17.2 Antiémétiques,métoclopramide
17.2 Antiémétiques,ondansétron a
17.3 Anti-inflammatoires,sulfasalazine
17.3 Anti-inflammatoires,hydrocortisone
17.4 Laxatifs,séné
17.5 Antidiarrhéiques,
17.5.1 Réhydratation orale,sels de réhydratation orale
17.5.2 Antidiarrhéiques à usage pédiatrique,sulfate de zinc
"18. HORMONES, AUTRES MEDICAMENTS INDIQUES EN ENDOCRINOLOGIE ET
CONTRACEPTIFS",
18.1 Hormones surrénaliennes et corticoïdes de synthèse,fludrocortisone
18.1 Hormones surrénaliennes et corticoïdes de synthèse,hydrocortisone
18.2 Androgènes,testostérone
18.3 Contraceptifs,
18.3.1 Contraceptifs hormonaux oraux,éthinylestradiol +lévonorgestrel
18.3.1 Contraceptifs hormonaux oraux,éthinylestradiol +noréthistérone
18.3.1 Contraceptifs hormonaux oraux,lévonorgestrel
18.3.2 Contraceptifs hormonaux injectables,acétate de médroxyprogestérone
18.3.2 Contraceptifs hormonaux injectables,"acétate de médroxyprogestérone +
cypionate dʹestradiol"
18.3.2 Contraceptifs hormonaux injectables,énantate de noréthistérone
18.3.3 Dispositifs intra-utérins,dispositif cuprocontraceptif
18.3.4 Contraception locale,diaphragme
18.3.4 Contraception locale,préservatif masculin
18.3.5 Contraceptifs implantables,implant libérant du lévonorgestrel
18.4 Estrogènes,
18.5 Insulines et autres antidiabétiques,glibenclamide
18.5 Insulines et autres antidiabétiques,glucagon
18.5 Insulines et autres antidiabétiques,insuline dʹaction intermédiaire
18.5 Insulines et autres antidiabétiques,insuline injectable (soluble)
18.5 Insulines et autres antidiabétiques,metformine
18.6 Inducteurs de l’ovulation,clomifène
18.7 Progestatifs,acétate de médroxyprogestérone
18.8 Hormones thyroïdiennes et antithyroïdiens,iodure de potassium
18.8 Hormones thyroïdiennes et antithyroïdiens,lévothyroxine
18.8 Hormones thyroïdiennes et antithyroïdiens,propylthiouracil
18.8 Hormones thyroïdiennes et antithyroïdiens,solution de Lugol
19. PREPARATIONS POUR L’IMMUNOLOGIE,
19.1 Produits de diagnostic,"tuberculine, dérivé protéinique
purifié (PPD)"
19.2 Sérums et immunoglobulines,antitoxine diphtérique
19.2 Sérums et immunoglobulines,immunoglobulines antirabiques
19.2 Sérums et immunoglobulines,immunoglobulines antivenimeuses *
19.2 Sérums et immunoglobulines,immunoglobulines humaines anti‐D
19.2 Sérums et immunoglobulines,immunoglobulines humaines antitétaniques
19.3 Vaccins,vaccin antiamaril
19.3 Vaccins,vaccin anticholérique
19.3 Vaccins,vaccin anticoquelucheux
19.3 Vaccins,vaccin antidiphtérique
19.3 Vaccins,vaccin antiencéphalite japonaise
19.3 Vaccins,vaccin antigrippal
19.3 Vaccins,"vaccin anti‐Haemophilus influenzae
type b"
19.3 Vaccins,vaccin anti‐hépatite A
19.3 Vaccins,vaccin anti‐hépatite B
19.3 Vaccins,vaccin antiméningococcique
19.3 Vaccins,vaccin antiourlien
19.3 Vaccins,vaccin antipneumococcique
19.3 Vaccins,vaccin antipoliomyélitique
19.3 Vaccins,vaccin antirabique
19.3 Vaccins,vaccin antirotavirus
19.3 Vaccins,vaccin antirougeoleux
19.3 Vaccins,vaccin antirubéoleux
19.3 Vaccins,vaccin antitétanique
19.3 Vaccins,vaccin antityphoïdique
19.3 Vaccins,vaccin antivaricelleux
19.3 Vaccins,vaccin par le BCG
20. MYORELAXANTS (PERIPHERIQUES) ET INHIBITEURS DE LA CHOLINESTERASE,atracurium
20. MYORELAXANTS (PERIPHERIQUES) ET INHIBITEURS DE LA CHOLINESTERASE,néostigmine
20. MYORELAXANTS (PERIPHERIQUES) ET INHIBITEURS DE LA CHOLINESTERASE,pyridostigmine
20. MYORELAXANTS (PERIPHERIQUES) ET INHIBITEURS DE LA CHOLINESTERASE,suxaméthonium
20. MYORELAXANTS (PERIPHERIQUES) ET INHIBITEURS DE LA CHOLINESTERASE,vécuronium
21. PREPARATIONS POUR L’OPHTALMOLOGIE,
21.1 Anti-infectieux,aciclovir
21.1 Anti-infectieux,gentamicine
21.1 Anti-infectieux,tétracycline
21.2 Anti-inflammatoires,prednisolone
21.3 Anesthésiques locaux,tétracaïne
21.4 Miotiques et antiglaucomateux,acétazolamide
21.4 Miotiques et antiglaucomateux,pilocarpine
21.4 Miotiques et antiglaucomateux,timolol
21.5 Mydriatiques,atropine*   a 
21.5 Mydriatiques,épinéphrine (adrénaline)
22. OCYTOCIQUES ET ANTIOCYTOCIQUES,
22.1 Ocytociques,ergométrine
22.1 Ocytociques,misoprostol
22.1 Ocytociques,oxytocine
22.1 Ocytociques,mifépristone
22.1 Ocytociques,misoprostol
22.2 Antiocytociques (tocolytiques),
nifédipine,
23. SOLUTIONS POUR DIALYSE PERITONEALE,
Liste complémentaire,
"solution pour dialyse péritonéale
(de composition appropriée)",
24. MEDICAMENTS DES DESORDRES MENTAUX ET COMPORTEMENTAUX,
24.1 Antipsychotiques,
chlorpromazine,
fluphénazine,
halopéridol,
Liste complémentaire [c],
Liste complémentaire [c],
fluoxétine a,
a,
halopéridol,
24.2 Médicaments des troubles de l’humeur,
24.2.1 Antidépresseurs,
amitriptyline,
fluoxétine,
Liste complémentaire [c],
fluoxétine a,
a,
,
24.2.2 Normothymiques,
"acide valproïque (valproate de
sodium)",
carbamazépine,
carbonate de lithium,
24.3 Anxiolytiques,
diazépam,
24.4 Médicaments des troubles obsessionnels compulsifs,
clomipramine,
24.5 Médicaments des troubles liés à l'usage de substances psychoactives,
"traitement de substitution nicotinique
(TSN)",
Liste complémentaire,
méthadone*,
25. MEDICAMENTS INDIQUES EN PNEUMOLOGIE,
"25.1 Antiasthmatiques et traitement des bronchopneumopathies chroniques
obstructives",
béclométasone,
"Forme solide pour voie orale: 20 mg (sous forme de chlorhydrate).
a > 8 ans.",
a,
budésonide [c],
[c],
épinéphrine (adrénaline),
salbutamol,
26. CORRECTION DES TROUBLES HYDRO-ELECTROLYTIQUES ET ACIDO-BASIQUES,
26.1 Voie orale,
chlorure de potassium,
sels de réhydratation orale,
26.2 Voie parentérale,
chlorure de potassium,
,
,
chlorure de sodium,
glucose,
glucose avec chlorure de sodium,
,
hydrogénocarbonate de sodium,
"lactate de sodium, solution
composée",
26.3 Divers,
eau pour préparations injectables,
budésonide [c],
[c],
"Solution: 11,2% en ampoule de 20 ml
(correspondant à 1,5 mmol/ml de K+ et 1,5 mmol/ml de Cl‐).
Solution à diluer: 7,5% (correspondant à K 1 mmol/ml et Cl
1 mmol/ml) [c]; 15% (correspondant à K 2 mmol/ml et Cl
2 mmol/ml) [c].",
[c],
[c],
"Solution injectable: 4% glucose, 0,18% chlorure de sodium
(correspondant à 30 mmol/L de Na+ et 30 mmol/L de Cl‐).
Solution injectable: 5% glucose, 0,9% chlorure de sodium
(correspondant à 150 mmol/L de Na+ et 150 mmol/L de Cl‐);
5% glucose, 0,45% chlorure de sodium (correspondant à
75 mmol/L Na+ et 75 mmol/L Cl‐) [c].",
[c],
cholécalciférol* [c],
[c],
xylométazoline a,
a,
27. VITAMINES ET ELEMENTS MINERAUX,
acide ascorbique,
cholécalciférol* [c],
[c],
ergocalciférol,
fluorure de sodium,
iodine,
nicotinamide,
pyridoxine,
rétinol,
riboflavine,
thiamine,
Liste complémentaire,
gluconate de calcium,
"28. AFFECTIONS DE L’OREILLE, DU NEZ ET DE LA GORGE CHEZ L’ENFANT [c]",
acide acétique,
budésonide,
ciprofloxacine,
xylométazoline a,
a,
,
29. MEDICAMENTS PROPRES AUX SOINS NEONATALS [c],
citrate de caféine,
"28. AFFECTIONS DE L’OREILLE, DU NEZ ET DE LA GORGE CHEZ L’ENFANT [c]",
"Pulvérisation nasale: 0,05%.
a Ne pas utiliser chez l’enfant de moins de 3 mois.",
a,
29. MEDICAMENTS PROPRES AUX SOINS NEONATALS [c],
Liste complémentaire,
ibuprofène,
prostaglandine E,
surfactant,
atazanavir,
atropine,
benzoate de benzyle,
bétaméthasone (préparations topiques),
céfazoline,
ceftriaxone,
chlorphénamine,
diloxanide,
doxycycline,
éfavirenz,
emtricitabine,
fluoxétine,
ibuprofène,
méfloquine,
métoclopramide,
ondansétron,
saquinavir,
sulfadiazine argentique,
tétracaïne,
triméthoprime,
Terme,
"Forme solide pour voie
orale",
Comprimés,
Terme,
Capsules (ou gélules),
Capsules (qualifiées),
Granulés,
Poudre pour voie orale,
Forme buvable,
Terme,
Injection,
Injection (qualifiée),
Injection (huileuse),
"Mode
d’administration",
Dans l’oeil,
Topique,
Rectal,
Vaginal,
